
=== Target Sell Zone (2021-05-10 to 2022-04-12) ===
Date         | Close    | RSI    | EMA200   | Ext%   | Stoch Bear
2021-07-01   | 2108.36  | 45.49  | 1991.08  | 5.89   |           
2021-07-02   | 2155.72  | 47.12  | 1992.72  | 8.18   |           
2021-07-03   | 2227.33  | 49.58  | 1995.05  | 11.64  |           
2021-07-04   | 2323.88  | 52.76  | 1998.33  | 16.29  |           
2021-07-05   | 2198.04  | 48.46  | 2000.31  | 9.88   |           
2021-07-06   | 2322.55  | 52.58  | 2003.52  | 15.92  |           
2021-07-07   | 2315.40  | 52.32  | 2006.62  | 15.39  |           
2021-07-08   | 2116.28  | 45.60  | 2007.71  | 5.41   |           
2021-07-09   | 2146.81  | 46.73  | 2009.10  | 6.85   |           
2021-07-10   | 2110.35  | 45.51  | 2010.10  | 4.99   | YES       
2021-07-11   | 2139.63  | 46.71  | 2011.39  | 6.38   |           
2021-07-12   | 2032.56  | 42.99  | 2011.60  | 1.04   |           
2021-07-13   | 1940.35  | 40.03  | 2010.90  | -3.51  |           
2021-07-14   | 1994.21  | 42.52  | 2010.73  | -0.82  |           
2021-07-15   | 1917.23  | 39.96  | 2009.80  | -4.61  |           
2021-07-16   | 1876.43  | 38.64  | 2008.47  | -6.57  |           
2021-07-17   | 1899.13  | 39.83  | 2007.38  | -5.39  |           
2021-07-18   | 1891.39  | 39.55  | 2006.23  | -5.72  |           
2021-07-19   | 1817.85  | 36.87  | 2004.36  | -9.31  |           
2021-07-20   | 1785.90  | 35.74  | 2002.18  | -10.80 |           
2021-07-21   | 1995.54  | 47.20  | 2002.12  | -0.33  |           
2021-07-22   | 2022.63  | 48.48  | 2002.32  | 1.01   |           
2021-07-23   | 2125.24  | 53.11  | 2003.54  | 6.07   |           
2021-07-24   | 2186.30  | 55.67  | 2005.36  | 9.02   |           
2021-07-25   | 2193.15  | 55.95  | 2007.23  | 9.26   |           
2021-07-26   | 2228.67  | 57.51  | 2009.43  | 10.91  |           
2021-07-27   | 2302.03  | 60.59  | 2012.34  | 14.40  |           
2021-07-28   | 2300.18  | 60.47  | 2015.21  | 14.14  |           
2021-07-29   | 2383.13  | 63.91  | 2018.87  | 18.04  |           
2021-07-30   | 2464.19  | 66.93  | 2023.30  | 21.79  |           
2021-07-31   | 2530.71  | 69.21  | 2028.35  | 24.77  |           
2021-08-01   | 2556.45  | 70.07  | 2033.60  | 25.71  |           
2021-08-02   | 2608.62  | 71.79  | 2039.33  | 27.92  |           
2021-08-03   | 2507.94  | 64.13  | 2043.99  | 22.70  |           
2021-08-04   | 2724.66  | 71.24  | 2050.76  | 32.86  |           
2021-08-05   | 2829.65  | 73.94  | 2058.51  | 37.46  |           
2021-08-06   | 2892.68  | 75.42  | 2066.81  | 39.96  | YES       
