time,open,high,low,close,Shape Stoch Cross Bull,Shape Stoch Cross Bear,Stoch Cross Bull,Stoch Cross Bear,Stoch Cross,EMA21,EMA55,EMA200,Volume,BBWP,Extreme Hi,Extreme Lo,MA 1,MA 2,%K,%D,RSI,RSI EMA,Positive Regular Div,Negative Regular Div,Positive Hidden Div,Negative Hidden Div
1718668800,3509.06,3515.47,3357.36,3482.78,0,0,0,0,0,3590.7096644357257,3488.9859673630353,3035.3763183957963,NaN,12,NaN,NaN,29.904066269500362,NaN,27.989171939061496,27.09872167858226,44.47331257265562,48.28516848562819,0,0,0,0
1718755200,3482.9,3585.16,3464.11,3558.65,0,0,0,0,0,3587.7951494870235,3491.4739685286413,3040.5830216953404,NaN,11,NaN,NaN,25.703162654055838,NaN,33.123920566588716,29.700246446695093,48.96572031281552,48.42127885106566,0,0,0,0
1718841600,3558.65,3623.73,3485.06,3511.72,0,0,0,0,0,3580.879226806385,3492.19704108119,3045.270951827725,NaN,8,NaN,NaN,21.769126508710094,NaN,34.515006336827874,31.876032947492675,46.46170107424244,48.02936329570102,0,0,0,0
1718928000,3511.72,3544.97,3444.78,3516.28,0,0,0,0,0,3575.0065698239864,3493.057146756862,3049.957609023469,NaN,5,NaN,NaN,18.042653951218963,NaN,33.02738690017389,33.55543793453014,46.74666592095964,47.77282382075274,0,0,0,0
1719014400,3516.23,3519.49,3473.86,3494.09,0,0,0,0,0,3567.650518021806,3493.0940343726884,3054.37683679438,NaN,3,NaN,NaN,14.699841962059192,NaN,29.08460319371798,32.2089988102399,45.47811950682206,47.313882957966605,0,0,0,0
1719100800,3494.11,3519.72,3406.8,3419.32,0,0,0,0,0,3554.165925474369,3490.4592474308065,3058.0081120501573,NaN,21,NaN,NaN,16.099877081601594,NaN,26.41868448238173,29.510224858757848,41.401274566278666,46.13136127962902,0,0,0,0
1719187200,3419.32,3432.98,3241.64,3350.2,0,0,0,0,0,3535.6235686130626,3485.449988593992,3060.9154940198073,NaN,28.000000000000004,NaN,NaN,18.744348841245685,NaN,25.497981019395663,27.00042289849844,38.00915650525622,44.50692032475446,0,0,0,0
1719273600,3350.19,3426.09,3334.58,3392.59,0,0,0,0,0,3522.620516920966,3482.133560429921,3064.215737860406,NaN,36,NaN,NaN,22.578937987635534,NaN,24.417401050705067,25.444688850827465,41.19146292101943,43.843828844007454,0,0,0,0
1719360000,3392.59,3425.03,3326.18,3369.82,0,0,0,0,0,3508.729560837242,3478.122361843138,3067.2565762896556,NaN,40,NaN,NaN,26.450285101494305,NaN,24.021005463992775,24.64546251136448,40.003516334853074,43.07576634217658,0,0,0,0
1719446400,3369.9,3474.39,3360.26,3448.12,1,0,1,0,1,3503.219600761129,3477.050848920169,3071.0462620977187,NaN,28.999999999999996,NaN,NaN,27.01688841227335,NaN,26.326240792376638,24.92154910235814,45.7928633224738,43.61918573823602,0,0,0,0
1719532800,3448.19,3482.64,3363.43,3375.28,0,0,0,0,0,3491.588727964663,3473.4161757444485,3074.0734634698806,NaN,24,NaN,NaN,26.346468765101495,NaN,27.20887375575597,25.852040004041772,41.756241687608345,43.246596928110485,0,0,0,0
1719619200,3375.24,3401.67,3365.96,3372.21,0,0,0,0,0,3480.7361163315118,3469.8016694678613,3077.039996171673,NaN,9,NaN,NaN,22.491697928412275,NaN,30.490021015675637,28.008378521269393,41.58983889764407,42.9152453220172,0,0,0,0
1719705600,3372.21,3454.26,3350.03,3432.17,0,0,0,0,0,3476.321014846829,3468.4576812725804,3080.5736280505616,NaN,1,NaN,1,17.71576505543177,NaN,35.21956577484658,30.972820182092708,46.107133520484076,43.55362296171057,0,0,0,0
1719792000,3432.18,3519.04,3421,3436.57,0,0,0,0,0,3472.70728622439,3467.3188355128455,3084.11588050777,NaN,4,NaN,NaN,14.667817265335822,NaN,37.90118234423401,34.53692304491872,46.434512514547,44.12980087227786,0,0,0,0
1719878400,3436.6,3460.66,3398.74,3417.91,0,0,0,0,0,3467.725714749445,3465.5542342445297,3087.4372150300806,NaN,1,NaN,1,11.63052453970564,NaN,40.61557864925283,37.91210892277778,45.181027136130005,44.34004612504829,0,0,0,0
1719964800,3417.88,3427.03,3248.79,3290.45,0,0,0,0,0,3451.6097406813137,3459.300511592939,3089.457242741224,NaN,18,NaN,NaN,13.045963530882164,NaN,35.29725836956553,37.93800645435076,37.695608440275606,43.01115858809375,0,0,0,0
1720051200,3290.46,3309.58,3048.24,3056.39,0,0,0,0,0,3415.6806733466487,3444.9108504646197,3089.1282154502665,NaN,82,NaN,NaN,28.36908274624168,NaN,30.3444166556587,35.419084558159,28.39292725532684,40.087512321540366,0,0,0,0
1720137600,3056.39,3107.55,2815.72,2980.78,0,0,0,0,0,3376.1442484969534,3428.334748662312,3088.050123754244,NaN,88,NaN,NaN,41.620397691521305,NaN,28.485007177824116,31.375560734349424,26.148046156108407,37.29961908845397,0,0,0,0
